Date,Price
01/01/2024,44179.55
02/01/2024,44946.91
03/01/2024,42845.23
04/01/2024,44151.10
05/01/2024,44145.11
06/01/2024,43968.32
07/01/2024,43929.02
08/01/2024,46951.04
09/01/2024,46110.00
10/01/2024,46653.99
11/01/2024,46339.16
12/01/2024,42782.73
13/01/2024,42847.99
14/01/2024,41732.35
15/01/2024,42511.10
16/01/2024,43137.95
17/01/2024,42776.10
18/01/2024,41327.50
19/01/2024,41659.03
20/01/2024,41696.04
21/01/2024,41580.33
22/01/2024,39568.02
23/01/2024,39897.60
24/01/2024,40084.88
25/01/2024,39961.09
26/01/2024,41823.51
27/01/2024,42120.63
28/01/2024,42031.06
29/01/2024,43302.70
30/01/2024,42941.10
31/01/2024,42580.00
01/02/2024,43082.94
02/02/2024,43200.00
03/02/2024,43011.09
04/02/2024,42582.88
05/02/2024,42708.70
06/02/2024,43098.95
07/02/2024,44349.60
08/02/2024,45288.65
09/02/2024,47132.77
10/02/2024,47751.09
11/02/2024,48299.99
12/02/2024,49917.27
13/02/2024,49699.59
14/02/2024,51795.17
15/02/2024,51880.00
16/02/2024,52124.11
17/02/2024,51642.64
18/02/2024,52137.67
19/02/2024,51774.73
20/02/2024,52258.82
21/02/2024,51849.39
22/02/2024,51288.42
23/02/2024,50744.15
24/02/2024,51568.22
25/02/2024,51728.85
26/02/2024,54476.47
27/02/2024,57037.34
28/02/2024,62432.10
29/02/2024,61130.98
01/03/2024,62387.90
02/03/2024,61987.28
03/03/2024,63113.97
04/03/2024,68245.71
05/03/2024,63724.01
06/03/2024,66074.04
07/03/2024,66823.17
08/03/2024,68124.19
09/03/2024,68313.27
10/03/2024,68955.88
11/03/2024,72078.10
12/03/2024,71452.01
13/03/2024,73072.41
14/03/2024,71388.94
15/03/2024,69499.85
16/03/2024,65300.63
17/03/2024,68393.48
18/03/2024,67609.99
19/03/2024,61937.40
20/03/2024,67840.51
21/03/2024,65501.27
22/03/2024,63796.64
23/03/2024,63990.01
24/03/2024,67209.99
25/03/2024,69880.01
26/03/2024,69988.00
27/03/2024,69469.99
28/03/2024,70780.60
29/03/2024,69850.54
30/03/2024,69582.18
31/03/2024,71280.01
01/04/2024,69649.80
02/04/2024,65463.99
03/04/2024,65963.28
04/04/2024,68487.79
05/04/2024,67820.62
06/04/2024,68896.00
07/04/2024,69360.39
08/04/2024,71620.00
09/04/2024,69146.00
10/04/2024,70631.08
11/04/2024,70006.23
12/04/2024,67116.52
13/04/2024,63924.51
14/04/2024,65661.84
15/04/2024,63419.99
16/04/2024,63793.39
17/04/2024,61277.37
18/04/2024,63470.08
19/04/2024,63818.01
20/04/2024,64940.59
21/04/2024,64941.15
22/04/2024,66819.32
23/04/2024,66414.00
24/04/2024,64289.59
25/04/2024,64498.34
26/04/2024,63770.01
27/04/2024,63461.98
28/04/2024,63118.62
29/04/2024,63866.00
30/04/2024,60672.00
